epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
94,949.978,1.2051,1.77579,0.23685,1.06475,1.10895,0.27626,0.2883,0.18901,0.08557,0.39647,0.22722,0.24439,0.12823,2.24334,3.96047,0.0815,2.0712,1.74363,0.000674562,0.000674562,0.000674562
95,956.388,1.2363,1.83851,0.19304,1.02653,1.09604,0.29186,0.24593,0.23661,0.09177,0.29763,0.31081,0.25737,0.15391,2.17715,3.9137,0.0837,2.04499,1.69411,0.000668375,0.000668375,0.000668375
96,964.195,1.19571,1.74392,0.21149,1.04722,1.10484,0.29186,0.24593,0.23661,0.09177,0.29763,0.31081,0.25737,0.15391,2.17715,3.9137,0.0837,2.04499,1.69411,0.000662188,0.000662188,0.000662188
97,973.261,1.16146,1.67434,0.21813,0.99307,1.07549,0.29597,0.2708,0.18725,0.07811,0.29091,0.26796,0.1988,0.12992,2.17082,3.83827,0.0875,2.10277,1.69511,0.000656,0.000656,0.000656
98,980.12,1.18432,1.64958,0.20594,0.99166,1.0945,0.29597,0.2708,0.18725,0.07811,0.29091,0.26796,0.1988,0.12992,2.17082,3.83827,0.0875,2.10277,1.69511,0.000649813,0.000649813,0.000649813
99,987.619,1.21175,1.82793,0.24955,1.0986,1.12767,0.23844,0.29888,0.16755,0.07279,0.39645,0.24178,0.23363,0.15096,2.19072,3.96452,0.09249,2.07867,1.69802,0.000643625,0.000643625,0.000643625
100,993.924,1.24052,1.78121,0.22367,1.09372,1.13,0.28482,0.28638,0.19911,0.08252,0.33869,0.27163,0.25862,0.16026,2.15191,4.07221,0.08733,2.07334,1.66204,0.000637437,0.000637437,0.000637437
101,1006.34,1.16484,1.66669,0.18315,0.97969,1.07592,0.28482,0.28638,0.19911,0.08252,0.33869,0.27163,0.25862,0.16026,2.15191,4.07221,0.08733,2.07334,1.66204,0.00063125,0.00063125,0.00063125
102,1014.09,1.141,1.65961,0.17554,0.94875,1.08046,0.35724,0.21944,0.21905,0.09342,0.33412,0.3016,0.24952,0.14173,2.07573,4.07589,0.08845,2.01709,1.62574,0.000625062,0.000625062,0.000625062
103,1022.86,1.14206,1.70118,0.20734,1.00272,1.08568,0.31546,0.28403,0.2566,0.10565,0.31186,0.32009,0.26428,0.16092,2.06414,3.91747,0.08823,2.03086,1.61524,0.000618875,0.000618875,0.000618875
104,1041.44,1.12726,1.59911,0.19401,0.96666,1.08175,0.31546,0.28403,0.2566,0.10565,0.31186,0.32009,0.26428,0.16092,2.06414,3.91747,0.08823,2.03086,1.61524,0.000612687,0.000612687,0.000612687
