epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,277.998,1.58597,4.10024,0.33917,1.52945,1.26551,0.23112,0.20226,0.16523,0.06577,0.18925,0.18574,0.1443,0.06052,2.42968,5.61408,0.29591,2.50536,1.88398,0.000693125,0.000693125,0.000693125
92,280.21,1.57901,4.13023,0.34165,1.47351,1.24388,0.2023,0.22377,0.17964,0.07105,0.13841,0.17554,0.10061,0.04085,2.41797,5.58331,0.30034,2.54098,1.85062,0.000686937,0.000686937,0.000686937
93,282.107,1.56154,3.98846,0.3483,1.47844,1.23632,0.2023,0.22377,0.17964,0.07105,0.13841,0.17554,0.10061,0.04085,2.41797,5.58331,0.30034,2.54098,1.85062,0.00068075,0.00068075,0.00068075
94,284.381,1.55266,4.0234,0.34286,1.48709,1.24506,0.4461,0.13885,0.17643,0.06849,0.15233,0.17245,0.09892,0.03678,2.39492,5.60552,0.30398,2.48612,1.83496,0.000674562,0.000674562,0.000674562
95,286.51,1.5731,4.07557,0.33946,1.47675,1.24651,0.43569,0.14216,0.18288,0.08033,0.14473,0.16794,0.09183,0.03693,2.39339,5.7513,0.31264,2.47342,1.85537,0.000668375,0.000668375,0.000668375
96,289.307,1.5585,3.98163,0.34144,1.46778,1.25181,0.1506,0.14166,0.10101,0.04244,0.20511,0.19662,0.13983,0.03815,2.37072,5.8422,0.3152,2.50369,1.84335,0.000662188,0.000662188,0.000662188
97,292.311,1.53275,3.99628,0.33258,1.4464,1.22799,0.1506,0.14166,0.10101,0.04244,0.20511,0.19662,0.13983,0.03815,2.37072,5.8422,0.3152,2.50369,1.84335,0.000656,0.000656,0.000656
98,295.449,1.52545,3.9915,0.33885,1.44262,1.23036,0.13824,0.15635,0.08517,0.03774,0.19208,0.17276,0.15193,0.05845,2.41523,5.75798,0.30217,2.51335,1.88601,0.000649813,0.000649813,0.000649813
99,297.414,1.52878,3.88626,0.33237,1.43366,1.21532,0.16052,0.19684,0.10324,0.04035,0.17325,0.19752,0.15594,0.06821,2.3676,5.59137,0.28788,2.50708,1.85939,0.000643625,0.000643625,0.000643625
100,299.471,1.52954,3.83061,0.33669,1.44145,1.24373,0.16568,0.20722,0.11441,0.04592,0.19181,0.24292,0.16586,0.05933,2.34256,5.44556,0.27551,2.51592,1.84959,0.000637437,0.000637437,0.000637437
